data_origin,image_number,predicted_distribution
Original Data,0,0.883140504360199
Original Data,1,0.7929263114929199
Original Data,2,0.9605066776275635
Original Data,3,0.7546464800834656
Original Data,4,0.8907670378684998
Original Data,5,0.6927283406257629
Original Data,6,0.966842532157898
Original Data,7,0.8550703525543213
Original Data,8,0.45941323041915894
Original Data,9,0.6830868124961853
Original Data,10,0.9307630658149719
Original Data,11,0.8851836323738098
Original Data,12,0.8714917302131653
Original Data,13,0.517753541469574
Original Data,14,0.7468252182006836
Original Data,15,0.7357528209686279
Original Data,16,0.515771746635437
Original Data,17,0.5957323908805847
Original Data,18,0.9056757688522339
Original Data,19,0.9183073043823242
Original Data,20,0.8641404509544373
Original Data,21,0.5302571654319763
Original Data,22,0.6709910035133362
Original Data,23,0.8198704719543457
Original Data,24,0.4425356686115265
Original Data,25,0.8197686076164246
Original Data,26,0.9395391941070557
Original Data,27,0.630557656288147
Original Data,28,0.9353886246681213
Original Data,29,0.9371733665466309
Original Data,30,0.7035378217697144
Original Data,31,0.8048363327980042
Original Data,32,0.9153497815132141
Original Data,33,0.5955650806427002
Original Data,34,0.282727986574173
Original Data,35,0.8770366311073303
Original Data,36,0.7874013185501099
Original Data,37,0.744703471660614
Original Data,38,0.6734898090362549
Original Data,39,0.9269788265228271
Original Data,40,0.9133703708648682
Original Data,41,0.6974225640296936
Original Data,42,0.9237257838249207
Original Data,43,0.5812888741493225
Original Data,44,0.7657155990600586
Original Data,45,0.5456228852272034
Original Data,46,0.8331890106201172
Original Data,47,0.9321228861808777
Original Data,48,0.6256664395332336
Original Data,49,0.9041398763656616
Original Data,50,0.9599775075912476
Original Data,51,0.8759248852729797
Original Data,52,0.8672221899032593
Original Data,53,0.9126176238059998
Original Data,54,0.9511591196060181
Original Data,55,0.308300644159317
Original Data,56,0.7712513208389282
Original Data,57,0.8858222365379333
Original Data,58,0.8499845266342163
Original Data,59,0.7445937395095825
Original Data,60,0.6686704158782959
Original Data,61,0.9621624946594238
Original Data,62,0.8806787729263306
Original Data,63,0.8960095643997192
Original Data,64,0.9634997844696045
Original Data,65,0.6954066753387451
Original Data,66,0.8766947388648987
