model, batch_one, batch_two, batch_three, batch_four, batch_five, batch_six, batch_seven, batch_eight, batch_nine, batch_ten
Original Data, -5.54409762456437e-13, -5.516237965540183e-13, -5.633816438539718e-13, -5.502412761537734e-13, -5.360471723621363e-13, -5.691910159345837e-13, -5.767752269715543e-13, -5.690495275510743e-13, -5.668278346693256e-13, -5.776851436448127e-13
VAE, 21.294939041137695, 21.568199157714844, 21.662120819091797, 21.575092315673828, 21.549623489379883, 21.428287506103516, 21.487865447998047, 21.404712677001953, 21.456144332885742, 21.539459228515625
DPVAE-5, 22.1772403717041, 22.3142147064209, 22.325664520263672, 22.324581146240234, 22.37030601501465, 22.4848575592041, 22.409812927246094, 22.380250930786133, 22.31290626525879, 22.363651275634766
DPVAE-10, 22.892789840698242, 22.85775375366211, 22.508663177490234, 22.347900390625, 22.280187606811523, 22.185916900634766, 22.101158142089844, 22.041088104248047, 22.080352783203125, 22.108318328857422
DPVAE-40, 21.911413192749023, 21.868200302124023, 22.116498947143555, 22.175247192382812, 22.331275939941406, 22.118227005004883, 22.13168716430664, 22.11574363708496, 22.0672607421875, 22.03411865234375
GAN, 75.68080139160156, 76.0824203491211, 76.035888671875, 76.31769561767578, 76.13611602783203, 76.22760009765625, 76.19985961914062, 76.2542495727539, 76.29234313964844, 76.30369567871094
DPGAN-5, 71.82662200927734, 71.52976989746094, 71.09950256347656, 70.83865356445312, 71.12934112548828, 71.07947540283203, 71.00767517089844, 71.09060668945312, 70.99363708496094, 70.88740539550781
DPGAN-10, 71.30599975585938, 71.57447052001953, 71.313232421875, 71.20591735839844, 71.4089126586914, 71.33181762695312, 71.29017639160156, 71.32329559326172, 71.36615753173828, 71.47213745117188
DPGAN-40, 70.47132873535156, 70.74191284179688, 70.82286834716797, 70.95137023925781, 71.08545684814453, 70.93517303466797, 70.91279602050781, 71.03602600097656, 71.07981872558594, 71.19558715820312
Diffusion, 38.02136993408203, 39.313777923583984, 39.247291564941406, 38.49898910522461, 38.16963195800781, 38.2300910949707, 38.22052001953125, 37.95545196533203, 37.56056594848633, 37.864566802978516
