,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,1000,THRESHOLD_ATTACK,0.1515833333333333,0.9862303637229147,0.5545491666666666,6.398017766103618,6.361644210262541,6.323898913152337,6.2846744529268275,6.243850286994112
1,Entire dataset,,60000,1000,LOGISTIC_REGRESSION,0.5497833333333333,1.0,0.8303761666666667,6.957794749483593,6.937168634666043,6.91610825268397,6.894594929485111,6.872608760404383
2,Entire dataset,,60000,1000,THRESHOLD_ENTROPY_ATTACK,0.15228333333333333,0.9862407948979951,0.5544007583333334,6.243850286994112,6.201290526552975,6.156841218848903,6.110327000554269,6.070851668979905
3,class,0,5923,100,THRESHOLD_ATTACK,0.09458382576397095,0.9850174216027875,0.5400928583488096,3.2792814993455575,3.20730615354455,3.205785012154026,3.1314768838316605,3.12158375982486
4,class,0,5923,100,LOGISTIC_REGRESSION,0.7776481512746919,1.0,0.9427789971298328,5.602331213837169,5.540995331220726,5.475669621219944,5.405801341121645,5.330714866708044
5,class,0,5923,100,THRESHOLD_ENTROPY_ATTACK,0.09563565760594295,0.9850510024621878,0.5307099442849906,3.2792814993455575,3.20730615354455,3.205785012154026,3.1314768838316605,3.12158375982486
6,class,1,6742,100,THRESHOLD_ATTACK,0.4886294867991694,0.9854879312897971,0.2393933550875111,1.317593806362999,1.2919562314479358,1.2753206437423104,1.2520647172049275,1.2440271927819961
7,class,1,6742,100,LOGISTIC_REGRESSION,0.9220528033224562,1.0,0.9806096113912786,4.868928299789046,4.8198967829259525,4.768377441061582,4.751088543533786,4.739037965227547
8,class,1,6742,100,THRESHOLD_ENTROPY_ATTACK,0.4789884307327203,0.9854943753700415,0.2366285968555325,1.3379327251653814,1.3376408930435126,1.3373489757309218,1.337056973177856,1.336764885334522
9,class,2,5958,100,THRESHOLD_ATTACK,0.28700570661295743,0.9884063305115937,0.637378314870762,5.707591234451985,5.63360933862425,5.55373738647753,5.481560892168701,5.466959958541616
10,class,2,5958,100,LOGISTIC_REGRESSION,0.7073346760657939,1.0,0.9044696206780799,4.831504820587073,4.771580662089096,4.7675872647478545,4.726984783424397,4.7078948095572795
11,class,2,5958,100,THRESHOLD_ENTROPY_ATTACK,0.28700570661295743,0.9884148584038249,0.639091977173548,5.55373738647753,5.466959958541616,5.411692613677271,5.371975313751568,5.336606141091838
12,class,3,6131,100,THRESHOLD_ATTACK,0.023296362746697108,0.984173600913689,0.4890564345131301,0.06887731061399169,-0.006708020782195579,-0.006791132826986341,-0.006957377022366048,-0.007123648033002887
13,class,3,6131,100,LOGISTIC_REGRESSION,0.7447855162290001,1.0,0.9303017452291633,5.440313219383374,5.3652267555277104,5.284084420844013,5.195830421940571,5.1785890942408646
14,class,3,6131,100,THRESHOLD_ENTROPY_ATTACK,0.028352634154297895,0.9841761827079935,0.49365682596640026,0.06887731061399169,-0.006708020782195579,-0.006791132826986341,-0.006957377022366048,-0.007123648033002887
15,class,4,5842,100,THRESHOLD_ATTACK,0.24646696336870932,0.9876406567054049,0.6216407052379321,4.665591546320505,4.660478320675035,4.550818297593615,4.494780113320854,4.447305929009888
16,class,4,5842,100,LOGISTIC_REGRESSION,0.5571790482711401,0.9951956074124914,0.8028380691543991,6.54506903684759,6.51429135196503,6.482536953762794,6.449741861076899,6.415835597298802
