,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,6000,THRESHOLD_ATTACK,0.5096166666666667,0.953270285305571,0.6882775625000002,9.296733311404902,9.29640538533326,9.296077351690847,9.295749210407058,9.295420961411233
1,Entire dataset,,60000,6000,LOGISTIC_REGRESSION,1.0,1.0,1.0,9.973106352480855,9.973022994386058,9.972856257347853,9.972689492503774,9.972522699844545
2,Entire dataset,,60000,6000,THRESHOLD_ENTROPY_ATTACK,0.5096166666666667,0.953270285305571,0.6730304763888888,9.29640538533326,9.296077351690847,9.295749210407058,9.295420961411233,9.295092604632634
3,class,0,5923,600,THRESHOLD_ATTACK,0.06532134616466878,0.9087143295489413,0.4676689740559401,2.6602750186396897,2.3328648633184907,1.910488027449547,1.62346077220605,1.4039567015425223
4,class,0,5923,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656902947809837,7.6560671338482456,7.654393407250924,7.652716874602023,7.651037526476904
5,class,0,5923,600,THRESHOLD_ENTROPY_ATTACK,0.10755135348078115,0.9087143295489413,0.44672435139850303,2.6602750186396897,2.382462199048158,2.3328648633184907,2.001988248458614,1.910488027449547
6,class,1,6742,600,THRESHOLD_ATTACK,0.9716666666666667,0.9976348155156103,0.9783144220310492,7.758452237576401,7.475943618130097,7.111334283475085,6.863777373680165,6.6743450339260155
7,class,1,6742,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.786409768924151,7.785573954966711,7.783900228377715,7.782223695737166,7.780544347620429
8,class,1,6742,600,THRESHOLD_ENTROPY_ATTACK,0.9716666666666667,0.9976374232162546,0.9770221497082963,7.758452237576401,7.756732455976411,7.755009711638765,7.753283994337818,7.751555293794882
9,class,2,5958,600,THRESHOLD_ATTACK,0.33432863376972133,0.9371950259719818,0.5693338088844131,6.561574184344691,6.556535679271914,6.55147165957556,6.278279028136572,5.9125596066335495
10,class,2,5958,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.6627943999134045,7.661958585952014,7.6602848593550945,7.658608326706597,7.656928978581886
11,class,2,5958,600,THRESHOLD_ENTROPY_ATTACK,0.33432863376972133,0.9371950259719818,0.5491873671254336,6.561574184344691,6.556535679271914,6.55147165957556,6.546381865536766,6.541266033450857
12,class,3,6131,600,THRESHOLD_ATTACK,0.345,0.9397608828939301,0.6436865927254934,6.624771791030922,6.341516324593642,5.975852753693815,5.727488792698364,5.537377602213873
13,class,3,6131,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.691415862987898,7.690580049027469,7.688906322432469,7.687229789785903,7.685550441663126
14,class,3,6131,600,THRESHOLD_ENTROPY_ATTACK,0.345,0.9397608828939301,0.6341746860218562,6.624771791030922,6.619904934726162,6.615014276696784,6.610099582994403,6.605160616204421
15,class,4,5842,600,THRESHOLD_ATTACK,0.48632431815588273,0.9499592502037489,0.711069696450987,6.918534910676383,6.9150803263999565,6.911613766704088,6.63561651373103,6.27387809908185
16,class,4,5842,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.643133841305322,7.642298027343257,7.6406243007449826,7.638947768095128,7.637268419969054
17,class,4,5842,600,THRESHOLD_ENTROPY_ATTACK,0.48632431815588273,0.9499592502037489,0.7014996291224467,6.918534910676383,6.9150803263999565,6.911613766704088,6.908135148274386,6.904644386923992
18,class,5,5421,600,THRESHOLD_ATTACK,0.7366666666666667,0.9716795124574297,0.8270439033388673,7.262945454204471,6.980312390626131,6.61552778142011,6.3678367103447995,6.178291416784819
19,class,5,5421,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.568345292303024,7.56750947833827,7.5658357517346,7.564159219079332,7.562479870947825
20,class,5,5421,600,THRESHOLD_ENTROPY_ATTACK,0.7366666666666667,0.9716795124574297,0.818483367152432,7.262945454204471,7.260675149837321,7.258399679479177,7.256119019566473,7.253833146374061
21,class,6,5918,600,THRESHOLD_ATTACK,0.5783333333333334,0.9590017825311943,0.7453113382899628,7.108033864178538,7.1051392570677665,7.10223624693414,6.825248504853829,6.4602483965487085
22,class,6,5918,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656058471219989,7.655222657258369,7.653548930660989,7.65187239801203,7.650193049886853
23,class,6,5918,600,THRESHOLD_ENTROPY_ATTACK,0.5783333333333334,0.9590017825311943,0.7327354399008674,7.108033864178538,7.1051392570677665,7.10223624693414,7.099324784848082,7.096404821451417
24,class,7,6265,600,THRESHOLD_ATTACK,0.5066666666666666,0.9549411944402016,0.662108140462889,7.032292736314499,7.028986626874629,6.749407356393441,6.384265816137578,6.1363010454067215
25,class,7,6265,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.713035439767952,7.712199625808226,7.7105258992146455,7.708849366569498,7.707170018448148
26,class,7,6265,600,THRESHOLD_ENTROPY_ATTACK,0.5066666666666666,0.9549411944402016,0.6342483373237563,7.032292736314499,7.028986626874629,7.025669550905162,7.0223414354115,7.019002206667819
27,class,8,5851,600,THRESHOLD_ATTACK,0.43666666666666665,0.9453869768944902,0.6831938984788924,6.814702528826124,6.810863325528416,6.807009326100658,6.803140416055496,6.799256479571631
28,class,8,5851,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.6446731378946176,7.643837323932605,7.642163597334438,7.6404870646846925,7.638807716558725
