,slice feature,slice value,train size,test size,attack type,Attacker advantage,Positive predictive value,AUC,Epsilon lower bound_1,Epsilon lower bound_2,Epsilon lower bound_3,Epsilon lower bound_4,Epsilon lower bound_5
0,Entire dataset,,60000,6000,THRESHOLD_ATTACK,0.4772833333333334,0.9503342733119989,0.6671603013888889,9.231363131897087,9.231013049186426,9.230662843874953,9.230312515876763,9.22996206510587
1,Entire dataset,,60000,6000,LOGISTIC_REGRESSION,1.0,1.0,1.0,9.973106352480855,9.973022994386058,9.972856257347853,9.972689492503774,9.972522699844545
2,Entire dataset,,60000,6000,THRESHOLD_ENTROPY_ATTACK,0.4772833333333334,0.9503342733119989,0.6508139847222223,9.231363131897087,9.231013049186426,9.230662843874953,9.230312515876763,9.22996206510587
3,class,0,5923,600,THRESHOLD_ATTACK,0.050000000000000044,0.9122131526259047,0.4884306939051157,4.629182760827448,4.594084981267819,4.5577116104310385,4.519966512236273,4.339138500168058
4,class,0,5923,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656902947809837,7.6560671338482456,7.654393407250924,7.652716874602023,7.651037526476904
5,class,0,5923,600,THRESHOLD_ENTROPY_ATTACK,0.07088468681411442,0.9122131526259047,0.4675797737632957,4.629182760827448,4.594084981267819,4.5577116104310385,4.519966512236273,4.480742266467548
6,class,1,6742,600,THRESHOLD_ATTACK,0.92,0.9931158335827597,0.9352926925739148,7.703713637197382,7.421181811536711,7.056539656471113,6.808957560718446,6.619503986569185
7,class,1,6742,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.786409768924151,7.785573954966711,7.783900228377715,7.782223695737166,7.780544347620429
8,class,1,6742,600,THRESHOLD_ENTROPY_ATTACK,0.92,0.9931178934769599,0.9314130327301493,7.703713637197382,7.701897005303324,7.7000770672596905,7.6982538110106224,7.696427224434195
9,class,2,5958,600,THRESHOLD_ATTACK,0.2483333333333333,0.9296302075206742,0.5141265245608146,6.265434295394092,6.25865338433342,5.981727937609134,5.615429554711994,5.366581407615532
10,class,2,5958,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.6627943999134045,7.661958585952014,7.6602848593550945,7.658608326706597,7.656928978581886
11,class,2,5958,600,THRESHOLD_ENTROPY_ATTACK,0.2483333333333333,0.9296302075206742,0.49140567304464583,6.265434295394092,6.25865338433342,6.25182618012936,6.2449520463733545,6.238030333443044
12,class,3,6131,600,THRESHOLD_ATTACK,0.235,0.930349013657056,0.582672484097211,6.238475680861305,6.231305838752002,5.954676935112984,5.588248533055873,5.339301338667512
13,class,3,6131,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.691415862987898,7.690580049027469,7.688906322432469,7.687229789785903,7.685550441663126
14,class,3,6131,600,THRESHOLD_ENTROPY_ATTACK,0.235,0.930349013657056,0.5715293861795249,6.238475680861305,6.231305838752002,6.224084220681124,6.216810073452198,6.209482627313565
15,class,4,5842,600,THRESHOLD_ATTACK,0.5838017802122561,0.9590729783037475,0.7642606698619194,7.1037431200490095,7.100873432639071,6.820964154367656,6.455973119345936,6.208123713824463
16,class,4,5842,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.643133841305322,7.642298027343257,7.6406243007449826,7.638947768095128,7.637268419969054
17,class,4,5842,600,THRESHOLD_ENTROPY_ATTACK,0.5838017802122561,0.9590729783037475,0.7564465651032752,7.1037431200490095,7.100873432639071,7.097995486472442,7.095109233875973,7.092214626762541
18,class,5,5421,600,THRESHOLD_ATTACK,0.7933333333333333,0.9776850507982583,0.8646067761175674,7.337220301649953,7.054626160391018,6.689896575587586,6.442247705057982,6.2527379704986705
19,class,5,5421,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.568345292303024,7.56750947833827,7.5658357517346,7.564159219079332,7.562479870947825
20,class,5,5421,600,THRESHOLD_ENTROPY_ATTACK,0.7933333333333333,0.9776850507982583,0.8579130541720469,7.337220301649953,7.335112684427686,7.333000615787512,7.330884076886354,7.328763048761239
21,class,6,5918,600,THRESHOLD_ATTACK,0.32983102399459274,0.9364198509592516,0.5963198434155683,6.5396459362814605,6.534530104191283,6.529387966281478,6.5242192506276915,6.261428662699223
22,class,6,5918,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.656058471219989,7.655222657258369,7.653548930660989,7.65187239801203,7.650193049886853
23,class,6,5918,600,THRESHOLD_ENTROPY_ATTACK,0.32983102399459274,0.9364198509592516,0.5763872930043934,6.5396459362814605,6.534530104191283,6.529387966281478,6.5242192506276915,6.5190236810674005
24,class,7,6265,600,THRESHOLD_ATTACK,0.41500000000000004,0.9469467956469166,0.5979700718276137,6.831967368898034,6.548907161331681,6.1835188744971425,5.935365290959877,5.745430757524581
25,class,7,6265,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.713035439767952,7.712199625808226,7.7105258992146455,7.708849366569498,7.707170018448148
26,class,7,6265,600,THRESHOLD_ENTROPY_ATTACK,0.41500000000000004,0.9469467956469166,0.5648216280925779,6.831967368898034,6.827926488999575,6.823869214334401,6.548907161331681,6.1835188744971425
27,class,8,5851,600,THRESHOLD_ATTACK,0.6283333333333334,0.9632861376358248,0.7906339372187091,7.179805777508955,7.177142447894857,6.897076022828482,6.532154507337936,6.284358369763182
28,class,8,5851,600,LOGISTIC_REGRESSION,1.0,1.0,1.0,7.6446731378946176,7.643837323932605,7.642163597334438,7.6404870646846925,7.638807716558725
29,class,8,5851,600,THRESHOLD_ENTROPY_ATTACK,0.6283333333333334,0.9632861376358248,0.7851677775878768,7.179805777508955,7.177142447894857,7.174472006050424,7.171794413888741,7.169109633016138
